,hex_id,lat,lon,day_of_week,weekend_ratio,weekday_ratio,night_ratio,rush_hour_ratio,business_hours_ratio,morning_ratio,afternoon_ratio,evening_ratio,total_records,unique_devices,records_per_device,device_diversity,frequent_devices,very_frequent_devices,commercial_activity_score,residential_activity_score,nearest_city_dist,weighted_city_importance,weighted_elevation,nearest_uni_dist,weighted_uni_importance,nearest_tourist_spot_dist,weighted_tourist_importance,coast_distance,nearest_mountain_dist,weighted_mountain_influence
0,8866d3285dfffff,-0.3120609003495463,-78.53630387079428,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,134460,5016,26.80622009569378,0.03730477465417224,1110,499,0.0,0.01865238732708612,0.16409820178334547,311034155051.1308,27141.49005705931,0.13180263824492658,11.07667691971595,0.09406175477243138,23.01087496033461,1.758401639203718,0.1656998531080486,74482.9599595104
1,8866d33123fffff,-0.12223809851484936,-78.46520092675657,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,914116,8803,103.84141769851188,0.009630068831526853,2118,873,0.0,0.0048150344157634264,0.07309745663870869,614032703705.6934,48416.61897526389,0.06341426195600235,22.730470432480296,0.090150125587682,29.28182697357551,1.867787250102487,0.16504345727243513,69813.37628803425
2,8866d33123fffff,-0.12221480850474735,-78.46528233640733,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,469526,6512,72.10165847665847,0.013869306492079245,1578,647,0.0,0.0069346532460396225,0.07315659106182093,613588460747.7301,48385.79352490268,0.06343294676145483,22.727707705643923,0.09011684920393782,29.288283108513006,1.8677073139906721,0.16497251393621504,69821.67444313732
3,888f2b9867fffff,-2.1538416816952415,-79.92137593147928,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,300960,2372,126.88026981450253,0.007881446039340776,572,238,0.0,0.003940723019670388,0.05874016576374264,2039563369022.6868,10218.66155382924,0.03385337863009572,9.401081284023391,0.05078436289272952,31.25735812595741,0.06726638958562717,0.800766548590684,20095.68600663601
4,888f2e0edbfffff,-0.9667503719371424,-80.69531495763961,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,278090,4970,55.95372233400403,0.01787191197094466,1215,490,0.0,0.00893595598547233,0.014285792009365878,324576014748.97534,7130.990250776535,1.3708038710516468,1.1668398248618927,1.4651301866646234,3.044148986422515,0.4987716566627249,1.869536472607425,14504.263159488235
5,8866d32115fffff,-0.28354825695393804,-78.45544673017046,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,71686,161,445.2546583850932,0.0022459057556566135,40,16,0.0,0.0011229528778283068,0.10010237386544632,467679961773.7918,38057.29018541248,0.0989038419242685,14.989381828518923,0.08684406174658159,24.822707024015628,1.8441064384913697,0.20189589790509735,71971.3445287567
6,8866d32a37fffff,-0.30378688685031097,-78.53341236595396,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,425242,25593,16.615558941898176,0.06018455373646065,5820,2444,0.0,0.030092276868230326,0.15593964535961952,323840263529.4076,28025.866810427666,0.12305201873120676,11.782475445762772,0.0853540646574202,24.774640941658564,1.7636996030276866,0.1603023517933649,75175.1643638837
7,8866d33149fffff,-0.0751653223353265,-78.44272767361903,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,168576,2773,60.791922106022355,0.01644955391040243,618,274,0.0,0.008224776955201215,0.11209381167713453,420565107963.1769,35336.66026536766,0.11342225116509173,13.086118370804474,0.07417413497788626,27.510321544314948,1.8934807786517207,0.20401656605531582,63671.49919281616
8,888f2864e3fffff,-2.040428703278296,-79.85784535869824,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,37611,1859,20.231845077998923,0.04942702932652682,459,185,0.0,0.02471351466326341,0.1658512509730469,751510483426.7894,10176.189595283156,0.14720323637711685,3.7661602421614946,0.14281104245442344,12.431665238098956,0.07947205459754439,0.7231696402242221,21658.283422095294
9,888f2b981dfffff,-2.1668718264712745,-79.88399075473173,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,98537,3397,29.00706505740359,0.03447435988511929,805,332,0.0,0.017237179942559647,0.09717847347353682,1254421513030.7732,10325.962378435574,0.02237315246267582,11.605369663280644,0.016691171913065305,65.7533195436611,0.03074233130112232,0.7668945858987399,20553.896166842806
10,888f2b9867fffff,-2.1537531858051118,-79.92109031735355,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,246624,2629,93.80905287181437,0.010659951991695862,654,259,0.0,0.005329975995847931,0.05902376242348484,2030086326753.7756,10218.935429037383,0.03375616061726743,9.410076597268821,0.050679335554427496,31.330571822261785,0.06698832874870604,0.8004691731455156,20100.141645792934
11,888f72d66dfffff,-3.99144074,-79.22011103999999,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,300,92,3.260869565217391,0.30666666666666664,17,10,0.0,0.15333333333333332,1.038430807793143,80411118671.89244,5767.531629686086,1.1106077780537484,1.0286205495226464,1.1491385650884927,2.5917705129134245,1.1732939944164207,1.9952254244150889,10947.75526671833
12,888f0d9a1bfffff,-3.270197757100366,-79.96390920203001,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,464624,4278,108.60776063581113,0.009207445159957299,1039,424,0.0,0.0046037225799786495,0.014814503515886217,220533692156.6004,11570.444734980527,0.851204893065285,1.3890168893884927,0.7586098821591986,3.843007114980767,0.26505429047966483,1.5179162353038083,12865.680032754493
